run,gen,nevals,bestId,bestPos,bestError,Eo,env
1,1,30,16,"[2.0, 2.0, 1.0, -1.0, 2.0, -3.0, 2.0]",27.0,0,0
1,2,54,15,"[0.0, -1.0, -1.0, -3.0, -1.0, 3.0, 0.0]",21.0,12.0,0
1,3,78,22,"[0.0, -4.0, 1.0, 1.0, -1.0, -1.0, 0.0]",20.0,14.76923076923077,0
1,4,102,30,"[2.0, -1.0, -3.0, 1.0, -1.0, -1.0, 0.0]",17.0,16.0,0
1,5,126,27,"[2.0, -1.0, 1.0, 1.0, -1.0, -1.0, 0.0]",9.0,16.19047619047619,0
1,6,150,17,"[0.0, -1.0, 1.0, 1.0, -1.0, -1.0, 0.0]",5.0,15.04,0
1,7,174,17,"[0.0, -1.0, 1.0, 1.0, -1.0, -1.0, 0.0]",5.0,13.655172413793103,0
1,8,198,17,"[0.0, -1.0, 1.0, 0.0, 0.9838752548528785, -1.0, 0.0]",4.01929003538217,12.606060606060606,0
1,9,222,27,"[0.0, -1.0, 1.0, 0.0, -1.0, -1.0, 0.0]",4.0,11.677761084906189,0
1,10,246,27,"[0.0, -1.0, 1.0, 0.0, -1.0, -1.0, 0.0]",4.0,10.928711222964122,0
1,11,270,27,"[0.0, -1.0, 0.0, 0.0, 0.9838752548528785, -1.0, 0.0]",3.01929003538217,10.312825780922868,0
1,12,294,27,"[0.0, -1.0, 0.0, 0.0, 0.9838752548528785, -1.0, 0.0]",3.01929003538217,9.717435107817511,0
1,13,318,24,"[0.0, -1.0, 0.0, 0.0, -1.0, -1.0, 0.0]",3.0,9.211914724992209,0
1,14,342,24,"[0.0, -1.0, 0.0, 0.0, -1.0, -1.0, 0.0]",3.0,8.775990884641878,0
1,15,366,24,"[0.0, -1.0, 0.0, 0.0, -1.0, -1.0, 0.0]",3.0,8.397237384009625,0
1,16,390,24,"[0.0, -1.0, 0.0, 0.0, -1.0, -1.0, 0.0]",3.0,8.0650996988398,0
1,17,414,24,"[0.0, -1.0, 0.0, 0.0, -1.0, -1.0, 0.0]",3.0,7.771470730791117,0
1,18,438,24,"[0.0, -1.0, 0.0, 0.0, -1.0, -1.0, 0.0]",3.0,7.510020279788864,0
1,19,462,24,"[0.0, -1.0, 0.0, 0.0, -1.0, -1.0, 0.0]",3.0,7.2757335120076245,0
1,20,486,24,"[0.0, -1.0, 0.0, 0.0, -1.0, -1.0, 0.0]",3.0,7.0645861780813215,0
1,21,510,24,"[0.0, -1.0, 0.0, 0.0, -1.0, -1.0, 0.0]",3.0,6.8733115344069065,0
