run,gen,nevals,bestId,bestPos,bestError,Eo,env
1,1,30,13,"[-1.0, 1.0, 1.0, -1.0, 3.0, 0.0, -5.0, 2.0, 0.0, 1.0]",43.0,0,0
1,2,54,13,"[-1.0, 1.0, 1.0, -1.0, 3.0, 0.0, -5.0, 2.0, 0.0, 1.0]",43.0,19.11111111111111,0
1,3,78,28,"[2.0, -1.0, 1.0, -4.0, 1.0, -1.0, -2.0, -3.0, 0.0, 1.0]",38.0,26.46153846153846,0
1,4,102,28,"[2.0, -1.0, 1.0, -4.0, 1.0, -1.0, -2.0, -3.0, 0.0, 1.0]",38.0,29.176470588235293,0
1,5,126,20,"[-3.0, -1.0, 0.9202704361431915, -4.0, 1.0, 1.0, -1.0, 0.0, 0.0, -1.0]",32.07565756949499,30.857142857142858,0
1,6,150,20,"[-3.0, -1.0, 0.9202704361431915, -4.0, 1.0, 1.0, -1.0, 0.0, 0.0, -1.0]",32.07565756949499,31.052105211119198,0
1,7,174,29,"[0.0, -1.0, 1.0, 2.0, 2.0, 2.0, 0.0, 3.0, 0.0, -1.0]",24.0,31.193284846757237,0
1,8,198,29,"[0.0, -1.0, 1.0, 2.0, 2.0, 2.0, 0.0, 3.0, 0.0, -1.0]",24.0,30.321371531998782,0
1,9,222,29,"[0.0, -1.0, 1.0, 2.0, 2.0, 2.0, 0.0, 3.0, 0.0, -1.0]",24.0,29.637980015025942,0
1,10,246,25,"[-1.0, -1.0, 1.0, 2.0, 2.0, 1.0, -1.0, 3.0, 0.0, -1.0]",23.0,29.087933184291703,0
1,11,270,25,"[-1.0, -1.0, 1.0, 2.0, 2.0, 1.0, -1.0, 3.0, 0.0, -1.0]",23.0,28.546783567910218,0
1,12,294,25,"[-1.0, -1.0, 1.0, 2.0, 2.0, 1.0, -1.0, 3.0, 0.0, -1.0]",23.0,28.093984909305302,0
1,13,318,25,"[-1.0, -1.0, 1.0, 2.0, 2.0, 1.0, -1.0, 3.0, 0.0, -1.0]",23.0,27.709533218036977,0
1,14,342,25,"[-1.0, -1.0, 1.0, 2.0, 2.0, 1.0, -1.0, 3.0, 0.0, -1.0]",23.0,27.37903965887649,0
1,15,366,25,"[-1.0, -1.0, 1.0, 2.0, 2.0, 1.0, -1.0, 3.0, 0.0, -1.0]",23.0,27.09188951731082,0
1,16,390,25,"[-1.0, -1.0, 1.0, 2.0, 2.0, 1.0, -1.0, 3.0, 0.0, -1.0]",23.0,26.84008093163015,0
1,17,414,27,"[-1.0, -1.0, 1.0, 2.0, 2.0, 1.0000152191896028, 0.0, 3.0, 1.0100636968649277, -0.03482950727133416]",22.279958213977608,26.617467544289273,0
1,18,438,12,"[-0.890020749763603, -1.0, 1.0, 0.07627586237731956, 0.8662289745802716, 2.0, 0.0, 1.0831841282349235, 0.0, 0.0]",16.806465549667934,26.37979580016262,0
1,19,462,12,"[-0.890020749763603, -1.0, 1.0, 0.07627586237731956, 0.8662289745802716, 2.0, 0.0, 1.0831841282349235, 0.0, 0.0]",16.806465549667934,25.88247994299403,0
1,20,486,12,"[-0.890020749763603, -1.0, 1.0, 0.07627586237731956, 0.8662289745802716, 2.0, 0.0, 1.0831841282349235, 0.0, 0.0]",16.806465549667934,25.43428170134827,0
1,21,510,12,"[-0.890020749763603, -1.0, 1.0, 0.07627586237731956, 0.8662289745802716, 2.0, 0.0, 1.0831841282349235, 0.0, 0.0]",16.806465549667934,25.028266823622108,0
1,22,534,12,"[-0.890020749763603, -1.0, 1.0, 0.07627586237731956, 0.8662289745802716, 2.0, 0.0, 1.0831841282349235, 0.0, 0.0]",16.806465549667934,24.658747665242117,0
1,23,558,12,"[-0.890020749763603, -1.0, 1.0, 0.07627586237731956, 0.8662289745802716, 2.0, 0.0, 1.0831841282349235, 0.0, 0.0]",16.806465549667934,24.321015101131373,0
1,24,582,12,"[-0.890020749763603, -1.0, 1.0, 0.07627586237731956, 0.8662289745802716, 2.0, 0.0, 1.0831841282349235, 0.0, 0.0]",16.806465549667934,24.011136769112237,0
1,25,606,12,"[-0.890020749763603, -1.0, 1.0, 0.07627586237731956, 0.8662289745802716, 2.0, 0.0, 1.0831841282349235, 0.0, 0.0]",16.806465549667934,23.725803255470858,0
1,26,630,12,"[-0.890020749763603, -1.0, 1.0, 0.07627586237731956, 0.8662289745802716, 2.0, 0.0, 1.0831841282349235, 0.0, 0.0]",16.806465549667934,23.462209438106914,0
1,27,654,12,"[-0.890020749763603, -1.0, 1.0, 0.07627586237731956, 0.8662289745802716, 2.0, 0.0, 1.0831841282349235, 0.0, 0.0]",16.806465549667934,23.21796195596234,0
1,28,678,12,"[-0.890020749763603, -1.0, 1.0, 0.07627586237731956, 0.8662289745802716, 2.0, 0.0, 1.0831841282349235, 0.0, 0.0]",16.806465549667934,22.991006330960747,0
1,29,702,12,"[-0.890020749763603, -1.0, 1.0, 0.07627586237731956, 0.8662289745802716, 2.0, 0.0, 1.0831841282349235, 0.0, 0.0]",16.806465549667934,22.779569039292596,0
