run,gen,nevals,bestId,bestPos,bestError,Eo,env
1,1,100,7,"[92.0, 74.0, 36.0, 96.0, 41.0]",61.19099939427891,0,0
1,2,200,3,"[79.86927548003827, 72.57797730086014, 70.91974975021418, 101.4913028689682, 41.975703436828944]",52.720675904129024,54.31980385399762,0
1,3,300,3,"[79.86927548003827, 72.57797730086014, 70.91974975021418, 101.4913028689682, 41.975703436828944]",52.720675904129024,53.78676120404147,0
1,4,400,3,"[79.86927548003827, 72.57797730086014, 70.91974975021418, 101.4913028689682, 41.975703436828944]",52.720675904129024,53.52023987906339,0
1,5,500,3,"[79.86927548003827, 72.57797730086014, 70.91974975021418, 101.4913028689682, 41.975703436828944]",52.720675904129024,53.360327084076545,0
1,6,600,4,"[80.19674321471155, 86.57843631328481, 62.44018071215791, 104.87415676766231, 35.281942659229706]",52.11878282931243,53.18349769535658,0
1,7,700,6,"[85.6759296160332, 64.35908280809787, 57.93077050333516, 101.22207414135386, 41.558181400051126]",34.87863521759058,50.814805164414366,0
1,8,800,6,"[85.6759296160332, 64.35908280809787, 57.93077050333516, 101.22207414135386, 41.558181400051126]",34.87863521759058,48.82278392106113,0
1,9,900,6,"[85.6759296160332, 64.35908280809787, 57.93077050333516, 101.22207414135386, 41.558181400051126]",34.87863521759058,47.273434065119716,0
1,10,1000,1,"[78.70238322611462, 68.34465462939522, 54.3138977874392, 104.84857773861118, 32.76154060125679]",30.04975823963308,45.599355252350755,0
1,11,1100,5,"[87.45982727150289, 75.2439107133862, 53.220285649723024, 96.41659044406461, 31.64963512586956]",27.365537989022208,44.03410885501735,0
1,12,1200,7,"[83.50431246483431, 75.32813624215555, 55.00672950687104, 102.9748126307234, 34.6987373328529]",21.815560575509494,42.36756241217532,0
1,13,1300,3,"[84.63751426828466, 78.38231073860429, 55.69205763339322, 96.54474047384922, 35.855020089583334]",21.088853488292827,40.764278975901966,0
1,14,1400,3,"[84.63751426828466, 78.38231073860429, 55.69205763339322, 96.54474047384922, 35.855020089583334]",21.088853488292827,39.358891441072586,0
1,15,1500,1,"[80.36186631802049, 69.48855930927225, 55.781872953813306, 98.1768113879825, 36.35028411402163]",12.870209884732574,37.976516038816015,0
1,16,1600,1,"[80.36186631802049, 69.48855930927225, 55.781872953813306, 98.1768113879825, 36.35028411402163]",12.870209884732574,36.407371904185965,0
1,17,1700,1,"[80.36186631802049, 69.48855930927225, 55.781872953813306, 98.1768113879825, 36.35028411402163]",12.870209884732574,35.02283296186533,0
1,18,1800,1,"[80.36186631802049, 69.48855930927225, 55.781872953813306, 98.1768113879825, 36.35028411402163]",12.870209884732574,33.79213167980255,0
1,19,1900,1,"[80.36186631802049, 69.48855930927225, 55.781872953813306, 98.1768113879825, 36.35028411402163]",12.870209884732574,32.6909779011148,0
1,20,2000,1,"[80.36186631802049, 69.48855930927225, 55.781872953813306, 98.1768113879825, 36.35028411402163]",12.870209884732574,31.69993950029582,0
1,21,2100,4,"[83.62430973412827, 72.89187229288771, 53.352409412544084, 98.59568958231343, 37.19843525144809]",9.400051658867532,30.803285709078647,0
1,22,2200,2,"[83.04853427647677, 74.01529131266857, 54.12007552574226, 98.40109748112363, 38.1610053431566]",8.188834136800033,29.808389297304146,0
1,23,2300,2,"[83.04853427647677, 74.01529131266857, 54.12007552574226, 98.40109748112363, 38.1610053431566]",8.188834136800033,28.868408638151923,0
1,24,2400,3,"[79.9906813272227, 72.8787744203507, 53.91568844414902, 98.2858950951606, 36.959603380710334]",4.432365868828441,27.865892140546457,0
1,25,2500,3,"[79.9906813272227, 72.8787744203507, 53.91568844414902, 98.2858950951606, 36.959603380710334]",4.432365868828441,26.928551089677505,0
1,26,2600,3,"[79.9906813272227, 72.8787744203507, 53.91568844414902, 98.2858950951606, 36.959603380710334]",4.432365868828441,26.063313196567705,0
1,27,2700,3,"[79.9906813272227, 72.8787744203507, 53.91568844414902, 98.2858950951606, 36.959603380710334]",4.432365868828441,25.262166999243814,0
1,28,2800,2,"[80.58923603585387, 72.39907450331786, 53.41165037633766, 98.16331298890587, 37.36866950185237]",3.3490847102678103,24.518245530300202,0
1,29,2900,9,"[80.11147268206265, 72.648507137622, 53.91162903698905, 97.76120252071415, 38.48125093046771]",3.0868183837029903,23.781943901037106,0
1,30,3000,9,"[80.11147268206265, 72.648507137622, 53.91162903698905, 97.76120252071415, 38.48125093046771]",3.0868183837029903,23.092106383792572,0
1,31,3100,9,"[80.11147268206265, 72.648507137622, 53.91162903698905, 97.76120252071415, 38.48125093046771]",3.0868183837029903,22.446774512821875,0
1,32,3200,9,"[80.11147268206265, 72.648507137622, 53.91162903698905, 97.76120252071415, 38.48125093046771]",3.0868183837029903,21.84177588378685,0
